Symbol,Category_cl
SEPTIN4-AS1,lncRNA
SEPTIN5,Protein Coding
SEPTIN6,Protein Coding
SEPTIN7,Protein Coding
SEPTIN7-DT,lncRNA
SEPTIN7P1,Pseudogene
SEPTIN7P2,Pseudogene
SEPTIN7P3,Pseudogene
SEPTIN7P4,Pseudogene
SEPTIN7P5,Pseudogene
SEPTIN7P6,Pseudogene
SEPTIN7P7,Pseudogene
SEPTIN7P8,Pseudogene
SEPTIN7P9,Pseudogene
SEPTIN7P10,Pseudogene
SEPTIN7P11,Pseudogene
SEPTIN7P12,Pseudogene
SEPTIN7P13,Pseudogene
SEPTIN7P14,Pseudogene
SEPTIN7P15,Pseudogene
SEPTIN8,Protein Coding
SEPTIN9,Protein Coding
SEPTIN9-DT,lncRNA
SEPTIN10,Protein Coding
SEPTIN10P1,Pseudogene
SEPTIN11,Protein Coding
SEPTIN12,Protein Coding
SEPTIN14,Protein Coding
SEPTIN14P1,Pseudogene
SEPTIN14P2,Pseudogene
SEPTIN14P3,Pseudogene
SEPTIN14P4,Pseudogene
SEPTIN14P5,Pseudogene
SEPTIN14P6,Pseudogene
SEPTIN14P7,Pseudogene
SEPTIN14P8,Pseudogene
SEPTIN14P10,Pseudogene
SEPTIN14P11,Pseudogene
SEPTIN14P12,Pseudogene
SEPTIN14P13,Pseudogene
SEPTIN14P14,Pseudogene
SEPTIN14P15,Pseudogene
SEPTIN14P16,Pseudogene
SEPTIN14P17,Pseudogene
SEPTIN14P18,Pseudogene
SEPTIN14P19,Pseudogene
SEPTIN14P20,Pseudogene
SEPTIN14P21,Pseudogene
SEPTIN14P22,Pseudogene
SEPTIN14P23,Pseudogene
SEPTIN14P24,Pseudogene
SERAC1,Protein Coding
SERBP1,Protein Coding
SERBP1P1,Pseudogene
SERBP1P2,Pseudogene
SERBP1P3,Pseudogene
SERBP1P4,Pseudogene
SERBP1P5,Pseudogene
SERBP1P6,Pseudogene
SERF1A,Protein Coding
SERF1AP1,Pseudogene
SERF1B,Protein Coding
SERF2,Protein Coding
SERGEF,Protein Coding
SERHL,Pseudogene
SERHL2,Protein Coding
SERINC1,Protein Coding
SERINC2,Protein Coding
SERINC3,Protein Coding
SERINC4,Protein Coding
SERINC5,Protein Coding
SERP1,Protein Coding
SERP2,Protein Coding
SERPINA1,Protein Coding
SERPINA2,Protein Coding
SERPINA3,Protein Coding
SERPINA4,Protein Coding
SERPINA5,Protein Coding
SERPINA6,Protein Coding
SERPINA7,Protein Coding
SERPINA7P1,Pseudogene
SERPINA9,Protein Coding
SERPINA10,Protein Coding
SERPINA11,Protein Coding
SERPINA12,Protein Coding
SERPINA13P,Pseudogene
SERPINA15P,Pseudogene
SERPINB1,Protein Coding
SERPINB2,Protein Coding
SERPINB3,Protein Coding
SERPINB4,Protein Coding
SERPINB5,Protein Coding
SERPINB6,Protein Coding
SERPINB7,Protein Coding
SERPINB8,Protein Coding
SERPINB8P1,Pseudogene
SERPINB9,Protein Coding
SERPINB9-AS1,lncRNA
SERPINB9P1,Pseudogene
SERPINB10,Protein Coding
SERPINB11,Protein Coding
SERPINB12,Protein Coding
SERPINB13,Protein Coding
SERPINC1,Protein Coding
SERPIND1,Protein Coding
SERPINE1,Protein Coding
SERPINE2,Protein Coding
SERPINE3,Protein Coding
SERPINE4P,Pseudogene
SERPINF1,Protein Coding
SERPINF2,Protein Coding
SERPING1,Protein Coding
SERPINH1,Protein Coding
SERPINH1P1,Pseudogene
SERPINI1,Protein Coding
SERPINI2,Protein Coding
SERTAD1,TF
SERTAD2,TF
SERTAD3,TF
SERTAD3-AS1,lncRNA
SERTAD4,Protein Coding
SERTAD4-AS1,lncRNA
SERTM1,Protein Coding
SERTM2,Protein Coding
SESN1,Protein Coding
SESN2,Protein Coding
SESN3,Protein Coding
SESTD1,Protein Coding
SET,Protein Coding
SETBP1,TF
SETBP1-DT,lncRNA
SETD1A,TF
SETD1B,TF
SETD2,TF
SETD3,Protein Coding
SETD4,TF
SETD4-AS1,lncRNA
SETD5,Protein Coding
SETD6,Protein Coding
SETD6P1,Pseudogene
SETD7,TF
SETD9,Protein Coding
SETDB1,TF
SETDB2,TF
SETMAR,Protein Coding
SETP1,Pseudogene
SETP2,Pseudogene
SETP3,Pseudogene
SETP4,Pseudogene
SETP5,Pseudogene
SETP6,Pseudogene
SETP7,Pseudogene
SETP8,Pseudogene
SETP9,Pseudogene
SETP10,Pseudogene
SETP11,Pseudogene
SETP12,Pseudogene
SETP14,Pseudogene
SETP15,Pseudogene
SETP16,Pseudogene
SETP17,Pseudogene
SETP20,Pseudogene
SETP21,Pseudogene
SETP22,Pseudogene
SETSIP,Protein Coding
SETX,Protein Coding
SEZ6,Protein Coding
SEZ6L,Protein Coding
SEZ6L-AS1,lncRNA
SEZ6L2,Protein Coding
SF1,TF
SF1-DT,lncRNA
SF3A1,Protein Coding
SF3A2,TF
SF3A3,TF
SF3A3P1,Pseudogene
SF3A3P2,Pseudogene
SF3B1,Protein Coding
SF3B2,Protein Coding
SF3B3,Protein Coding
SF3B4,Protein Coding
SF3B4P1,Pseudogene
SF3B5,Protein Coding
SF3B6,Protein Coding
SFI1,Protein Coding
SFMBT1,TF
SFMBT2,TF
SFN,Protein Coding
SFPQ,TF
SFPQP1,Pseudogene
SFR1,Protein Coding
SFR1P1,Pseudogene
SFR1P2,Pseudogene
SFRP1,Protein Coding
SFRP2,Protein Coding
SFRP4,Protein Coding
SFRP5,Protein Coding
SFSWAP,TF
SFT2D1,Protein Coding
SFT2D2,Protein Coding
SFT2D3,Protein Coding
SFTA1P,lncRNA
SFTA2,Protein Coding
SFTA3,other
SFTPA1,Protein Coding
SFTPA2,Protein Coding
SFTPA3P,Pseudogene
SFTPB,Protein Coding
SFTPC,Protein Coding
SFTPD,Protein Coding
SFTPD-AS1,lncRNA
SFXN1,Protein Coding
SFXN2,Protein Coding
SFXN3,Protein Coding
SFXN4,Protein Coding
SFXN4P1,Pseudogene
SFXN5,Protein Coding
SGCA,Protein Coding
SGCB,Protein Coding
SGCD,Protein Coding
SGCE,Protein Coding
SGCEP1,Pseudogene
SGCG,Protein Coding
SGCZ,Protein Coding
SGF29,Protein Coding
SGIP1,Protein Coding
SGK1,Protein Coding
SGK2,Protein Coding
SGK3,Protein Coding
SGMS1,Protein Coding
SGMS1-AS1,lncRNA
SGMS2,Protein Coding
SGO1,Protein Coding
SGO1-AS1,lncRNA
SGO1P1,Pseudogene
SGO1P2,Pseudogene
SGO2,Protein Coding
SGPL1,Protein Coding
SGPP1,Protein Coding
SGPP2,Protein Coding
SGSH,Protein Coding
SGSM1,Protein Coding
SGSM2,Protein Coding
SGSM2-AS1,lncRNA
SGSM3,Protein Coding
SGSM3-AS1,lncRNA
SGTA,Protein Coding
SGTB,Protein Coding
SH2B1,Protein Coding
SH2B2,Protein Coding
SH2B3,Protein Coding
SH2D1A,Protein Coding
SH2D1B,Protein Coding
SH2D2A,Protein Coding
SH2D3A,Protein Coding
SH2D3C,Protein Coding
SH2D4A,Protein Coding
SH2D4B,Protein Coding
SH2D5,Protein Coding
SH2D6,Protein Coding
SH2D7,Protein Coding
SH3BGR,Protein Coding
SH3BGRL,Protein Coding
SH3BGRL2,Protein Coding
SH3BGRL3,Protein Coding
SH3BP1,Protein Coding
SH3BP2,Protein Coding
SH3BP4,Protein Coding
SH3BP5,Protein Coding
SH3BP5-AS1,lncRNA
SH3BP5L,Protein Coding
SH3D19,Protein Coding
SH3D21,Protein Coding
SH3GL1,Protein Coding
SH3GL1P1,Pseudogene
SH3GL1P2,Pseudogene
SH3GL1P3,Pseudogene
SH3GL2,Protein Coding
SH3GL3,Protein Coding
SH3GLB1,Protein Coding
SH3GLB2,Protein Coding
SH3KBP1,Protein Coding
SH3PXD2A,Protein Coding
SH3PXD2A-AS1,lncRNA
SH3PXD2B,Protein Coding
SH3RF1,Protein Coding
SH3RF2,Protein Coding
SH3RF3,Protein Coding
SH3RF3-AS1,lncRNA
SH3TC1,Protein Coding
SH3TC2,Protein Coding
SH3TC2-DT,lncRNA
SH3YL1,Protein Coding
SHANK1,Protein Coding
SHANK2,Protein Coding
SHANK2-AS1,lncRNA
SHANK2-AS2,lncRNA
SHANK2-AS3,lncRNA
SHANK3,Protein Coding
SHARPIN,Protein Coding
SHB,Protein Coding
SHBG,Protein Coding
SHC1,Protein Coding
SHC1P1,Pseudogene
SHC1P2,Pseudogene
SHC2,Protein Coding
SHC3,Protein Coding
SHC4,Protein Coding
SHCBP1,Protein Coding
SHCBP1L,Protein Coding
SHD,Protein Coding
SHE,Protein Coding
SHF,Protein Coding
SHFL,Protein Coding
SHH,TF
SHISA2,Protein Coding
SHISA3,Protein Coding
SHISA4,Protein Coding
SHISA5,Protein Coding
SHISA5P1,Pseudogene
SHISA5P2,Pseudogene
SHISA6,Protein Coding
SHISA7,Protein Coding
SHISA8,Protein Coding
SHISA9,Protein Coding
SHISAL1,Protein Coding
SHISAL2A,Protein Coding
SHISAL2B,Protein Coding
SHKBP1,Protein Coding
SHLD1,Protein Coding
SHLD2,Protein Coding
SHLD2P1,Pseudogene
SHLD2P2,Pseudogene
SHLD2P3,Pseudogene
SHLD3,Protein Coding
SHMT1,Protein Coding
SHMT1P1,Pseudogene
SHMT2,Protein Coding
SHOC1,Protein Coding
SHOC2,Protein Coding
SHOX,Protein Coding
SHOX2,TF
SHPK,Protein Coding
SHPRH,TF
SHQ1,Protein Coding
SHQ1P1,Pseudogene
SHROOM1,Protein Coding
SHROOM2,Protein Coding
SHROOM2P1,Pseudogene
SHROOM3,Protein Coding
SHROOM3-AS1,lncRNA
SHROOM4,Protein Coding
SHTN1,Protein Coding
SI,Protein Coding
SIAE,Protein Coding
SIAH1,Protein Coding
SIAH1P1,Pseudogene
SIAH2,TF
SIAH2-AS1,lncRNA
SIAH3,Protein Coding
SIDT1,Protein Coding
SIDT1-AS1,lncRNA
SIDT2,Protein Coding
SIGIRR,TF
SIGLEC1,Protein Coding
SIGLEC5,Protein Coding
SIGLEC6,Protein Coding
SIGLEC7,Protein Coding
SIGLEC8,Protein Coding
SIGLEC9,Protein Coding
SIGLEC10,Protein Coding
SIGLEC10-AS1,lncRNA
SIGLEC11,Protein Coding
SIGLEC12,Protein Coding
SIGLEC14,Protein Coding
SIGLEC15,Protein Coding
SIGLEC16,Protein Coding
SIGLEC17P,Pseudogene
SIGLEC18P,Pseudogene
SIGLEC20P,Pseudogene
SIGLEC21P,Pseudogene
SIGLEC22P,Pseudogene
SIGLEC24P,Pseudogene
SIGLEC25P,Pseudogene
SIGLEC26P,Pseudogene
SIGLEC27P,Pseudogene
SIGLEC28P,Pseudogene
SIGLEC29P,Pseudogene
SIGLEC30P,Pseudogene
SIGLEC31P,Pseudogene
SIGLECL1,Protein Coding
SIGMAR1,Protein Coding
SIK1,Protein Coding
SIK2,Protein Coding
SIK3,Protein Coding
SIK3-IT1,lncRNA
SIKE1,Protein Coding
SIL1,Protein Coding
SILC1,lncRNA
SIM1,TF
SIM1-AS1,lncRNA
SIM2,TF
SIMC1,Protein Coding
SIN3A,TF
SIN3B,TF
SINHCAF,Protein Coding
SINHCAFP1,Pseudogene
SINHCAFP2,Pseudogene
SINHCAFP3,Pseudogene
SIPA1,Protein Coding
SIPA1L1,Protein Coding
SIPA1L1-AS1,lncRNA
SIPA1L2,Protein Coding
SIPA1L3,Protein Coding
SIRLNT,lncRNA
SIRPA,Protein Coding
SIRPAP1,Pseudogene
SIRPB1,Protein Coding
SIRPB2,Protein Coding
SIRPB3P,Pseudogene
SIRPD,Protein Coding
SIRPG,Protein Coding
SIRPG-AS1,lncRNA
SIRT1,TF
SIRT1-AS,lncRNA
SIRT2,TF
SIRT3,TF
SIRT4,TF
SIRT5,TF
SIRT6,TF
SIRT7,TF
SIT1,Protein Coding
SIVA1,Protein Coding
SIX1,TF
SIX2,TF
SIX3,TF
SIX3-AS1,lncRNA
SIX4,TF
SIX5,TF
SIX6,TF
SKA1,Protein Coding
SKA2,Protein Coding
SKA2P1,Pseudogene
SKA3,Protein Coding
SKAP1,Protein Coding
SKAP1-AS1,lncRNA
SKAP1-AS2,lncRNA
SKAP2,Protein Coding
SKI,TF
SKIDA1,TF
SKIL,TF
SKINT1L,Pseudogene
SKIV2L,Protein Coding
SKOR1,TF
SKOR2,TF
SKP1,Protein Coding
SKP1P1,Pseudogene
SKP1P2,Pseudogene
SKP1P3,Pseudogene
SKP2,Protein Coding
SKP2P1,Pseudogene
SLA,Protein Coding
SLA2,TF
SLAIN1,Protein Coding
SLAIN2,Protein Coding
SLAMF1,Protein Coding
SLAMF6,Protein Coding
SLAMF6P1,Pseudogene
SLAMF7,Protein Coding
SLAMF8,Protein Coding
SLAMF9,Protein Coding
SLBP,Protein Coding
SLBP-DT,lncRNA
SLC1A1,Protein Coding
SLC1A2,Protein Coding
SLC1A2-AS1,lncRNA
SLC1A3,Protein Coding
SLC1A4,Protein Coding
SLC1A5,Protein Coding
SLC1A6,Protein Coding
SLC1A7,Protein Coding
SLC2A1,Protein Coding
SLC2A1-DT,lncRNA
SLC2A2,Protein Coding
SLC2A3,Protein Coding
SLC2A3P1,Pseudogene
SLC2A3P2,Pseudogene
SLC2A3P4,Pseudogene
SLC2A4,Protein Coding
SLC2A4RG,TF
SLC2A5,Protein Coding
SLC2A6,Protein Coding
SLC2A7,Protein Coding
SLC2A8,Protein Coding
SLC2A9,Protein Coding
SLC2A9-AS1,lncRNA
SLC2A10,Protein Coding
SLC2A11,Protein Coding
SLC2A12,Protein Coding
SLC2A13,Protein Coding
SLC2A13P1,Pseudogene
SLC2A14,Protein Coding
SLC2AXP1,Pseudogene
SLC3A1,Protein Coding
SLC3A2,Protein Coding
SLC4A1,Protein Coding
SLC4A1AP,Protein Coding
SLC4A1APP1,Pseudogene
SLC4A1APP2,Pseudogene
SLC4A2,Protein Coding
SLC4A3,Protein Coding
SLC4A4,Protein Coding
SLC4A5,Protein Coding
SLC4A7,Protein Coding
SLC4A8,Protein Coding
SLC4A8-AS1,lncRNA
SLC4A9,Protein Coding
SLC4A10,TF
SLC4A11,Protein Coding
SLC5A1,Protein Coding
SLC5A2,Protein Coding
SLC5A3,Protein Coding
SLC5A4,Protein Coding
SLC5A4-AS1,lncRNA
SLC5A4P1,Pseudogene
SLC5A5,Protein Coding
SLC5A6,Protein Coding
SLC5A7,Protein Coding
SLC5A8,Protein Coding
SLC5A9,Protein Coding
SLC5A10,Protein Coding
SLC5A11,Protein Coding
SLC5A12,Protein Coding
SLC6A1,Protein Coding
SLC6A1-AS1,lncRNA
SLC6A2,Protein Coding
SLC6A3,Protein Coding
SLC6A4,Protein Coding
SLC6A5,Protein Coding
SLC6A6,Protein Coding
SLC6A6P1,Pseudogene
SLC6A7,Protein Coding
SLC6A8,Protein Coding
SLC6A9,Protein Coding
SLC6A10P,Pseudogene
SLC6A11,Protein Coding
SLC6A12,Protein Coding
SLC6A12-AS1,lncRNA
SLC6A13,Protein Coding
SLC6A14,Protein Coding
SLC6A14P1,Pseudogene
SLC6A14P2,Pseudogene
SLC6A14P3,Pseudogene
SLC6A15,Protein Coding
SLC6A16,Protein Coding
SLC6A17,Protein Coding
SLC6A17-AS1,lncRNA
SLC6A18,Protein Coding
SLC6A19,Protein Coding
SLC6A20,Protein Coding
SLC6A21P,Pseudogene
SLC7A1,Protein Coding
SLC7A2,Protein Coding
SLC7A2-IT1,lncRNA
SLC7A3,Protein Coding
SLC7A4,Protein Coding
SLC7A5,Protein Coding
SLC7A5P1,Pseudogene
SLC7A5P2,Pseudogene
SLC7A6,Protein Coding
SLC7A6OS,Protein Coding
SLC7A7,Protein Coding
SLC7A8,Protein Coding
SLC7A9,Protein Coding
SLC7A10,Protein Coding
SLC7A11,Protein Coding
SLC7A11-AS1,lncRNA
SLC7A13,Protein Coding
SLC7A14,Protein Coding
SLC7A14-AS1,lncRNA
SLC7A15P,Pseudogene
SLC8A1,Protein Coding
SLC8A1-AS1,lncRNA
SLC8A2,Protein Coding
SLC8A3,Protein Coding
SLC8B1,Protein Coding
SLC9A1,Protein Coding
SLC9A2,Protein Coding
SLC9A3,Protein Coding
SLC9A3-AS1,lncRNA
SLC9A3P1,Pseudogene
SLC9A3P2,Pseudogene
SLC9A3P3,Pseudogene
SLC9A3R1,Protein Coding
SLC9A3R1-AS1,lncRNA
SLC9A3R2,Protein Coding
SLC9A4,Protein Coding
SLC9A5,Protein Coding
SLC9A6,Protein Coding
SLC9A7,Protein Coding
SLC9A7P1,Pseudogene
SLC9A8,Protein Coding
SLC9A9,Protein Coding
SLC9A9-AS1,lncRNA
SLC9A9-AS2,lncRNA
SLC9B1,Protein Coding
SLC9B1P1,Pseudogene
SLC9B1P2,Pseudogene
SLC9B1P3,Pseudogene
SLC9B1P4,Pseudogene
SLC9B1P5,Pseudogene
SLC9B2,Protein Coding
SLC9C1,Protein Coding
SLC9C2,Protein Coding
SLC10A1,Protein Coding
SLC10A2,Protein Coding
SLC10A3,Protein Coding
SLC10A4,Protein Coding
SLC10A5,Protein Coding
SLC10A5P1,Pseudogene
SLC10A6,Protein Coding
SLC10A7,Protein Coding
SLC11A1,Protein Coding
SLC11A2,Protein Coding
SLC12A1,Protein Coding
SLC12A2,Protein Coding
SLC12A2-DT,lncRNA
SLC12A3,Protein Coding
SLC12A4,Protein Coding
SLC12A5,Protein Coding
SLC12A5-AS1,lncRNA
SLC12A6,Protein Coding
SLC12A7,Protein Coding
SLC12A8,Protein Coding
SLC12A9,Protein Coding
SLC12A9-AS1,lncRNA
SLC13A1,Protein Coding
SLC13A2,Protein Coding
SLC13A3,Protein Coding
SLC13A4,Protein Coding
SLC13A5,Protein Coding
SLC14A1,Protein Coding
SLC14A2,Protein Coding
SLC14A2-AS1,lncRNA
SLC15A1,Protein Coding
SLC15A2,Protein Coding
SLC15A3,Protein Coding
SLC15A4,Protein Coding
SLC15A5,Protein Coding
SLC16A1,Protein Coding
SLC16A1-AS1,lncRNA
SLC16A1P1,Pseudogene
SLC16A2,Protein Coding
SLC16A3,Protein Coding
SLC16A4,Protein Coding
SLC16A4-AS1,lncRNA
SLC16A5,Protein Coding
SLC16A6,Protein Coding
SLC16A6P1,Pseudogene
SLC16A7,Protein Coding
SLC16A8,Protein Coding
SLC16A9,Protein Coding
SLC16A10,Protein Coding
SLC16A11,Protein Coding
SLC16A12,Protein Coding
SLC16A12-AS1,lncRNA
SLC16A13,Protein Coding
SLC16A14,Protein Coding
SLC16A14P1,Pseudogene
SLC17A1,Protein Coding
SLC17A2,Protein Coding
SLC17A3,Protein Coding
SLC17A4,Protein Coding
SLC17A5,Protein Coding
SLC17A6,Protein Coding
SLC17A6-DT,lncRNA
SLC17A7,Protein Coding
SLC17A8,Protein Coding
SLC17A9,Protein Coding
SLC18A1,Protein Coding
SLC18A2,Protein Coding
SLC18A2-AS1,lncRNA
SLC18A3,Protein Coding
SLC18B1,Protein Coding
SLC19A1,Protein Coding
SLC19A2,Protein Coding
SLC19A3,Protein Coding
SLC20A1,Protein Coding
SLC20A1-DT,lncRNA
SLC20A1P1,Pseudogene
SLC20A1P2,Pseudogene
SLC20A1P3,Pseudogene
SLC20A2,Protein Coding
SLC22A1,Protein Coding
SLC22A2,Protein Coding
SLC22A3,Protein Coding
SLC22A4,TF
SLC22A5,Protein Coding
SLC22A6,Protein Coding
SLC22A7,Protein Coding
SLC22A8,Protein Coding
SLC22A9,Protein Coding
SLC22A10,Protein Coding
SLC22A11,Protein Coding
SLC22A12,Protein Coding
SLC22A13,Protein Coding
SLC22A14,Protein Coding
SLC22A15,Protein Coding
SLC22A16,Protein Coding
SLC22A17,Protein Coding
SLC22A18,Protein Coding
SLC22A18AS,lncRNA
SLC22A20P,Pseudogene
SLC22A23,Protein Coding
SLC22A24,Protein Coding
SLC22A25,Protein Coding
SLC22A31,Protein Coding
SLC23A1,Protein Coding
SLC23A2,Protein Coding
SLC23A3,Protein Coding
SLC23A4P,Pseudogene
SLC24A1,Protein Coding
SLC24A2,Protein Coding
SLC24A3,Protein Coding
SLC24A3-AS1,lncRNA
SLC24A4,Protein Coding
SLC24A5,Protein Coding
SLC25A1,Protein Coding
SLC25A1P1,Pseudogene
SLC25A1P2,Pseudogene
SLC25A1P3,Pseudogene
SLC25A1P4,Pseudogene
SLC25A1P5,Pseudogene
SLC25A2,Protein Coding
SLC25A3,Protein Coding
SLC25A3P1,Pseudogene
SLC25A3P2,Pseudogene
SLC25A3P3,Pseudogene
SLC25A4,Protein Coding
SLC25A5,Protein Coding
SLC25A5-AS1,lncRNA
SLC25A5P1,Pseudogene
SLC25A5P2,Pseudogene
SLC25A5P3,Pseudogene
SLC25A5P4,Pseudogene
SLC25A5P5,Pseudogene
SLC25A5P6,Pseudogene
SLC25A5P7,Pseudogene
SLC25A5P8,Pseudogene
SLC25A5P9,Pseudogene
SLC25A6,Protein Coding
SLC25A6P1,Pseudogene
SLC25A6P2,Pseudogene
SLC25A6P3,Pseudogene
SLC25A6P4,Pseudogene
SLC25A6P5,Pseudogene
SLC25A6P6,Pseudogene
SLC25A10,Protein Coding
SLC25A11,Protein Coding
SLC25A12,Protein Coding
SLC25A13,Protein Coding
SLC25A14,Protein Coding
SLC25A14P1,Pseudogene
SLC25A15,Protein Coding
SLC25A15P1,Pseudogene
SLC25A15P2,Pseudogene
SLC25A15P3,Pseudogene
SLC25A15P4,Pseudogene
SLC25A15P5,Pseudogene
SLC25A16,Protein Coding
SLC25A17,Protein Coding
SLC25A18,Protein Coding
SLC25A18P1,Pseudogene
SLC25A19,Protein Coding
SLC25A20,Protein Coding
SLC25A20P1,Pseudogene
SLC25A21,Protein Coding
SLC25A21-AS1,lncRNA
SLC25A22,Protein Coding
SLC25A23,Protein Coding
SLC25A24,Protein Coding
SLC25A24P1,Pseudogene
SLC25A24P2,Pseudogene
SLC25A25,Protein Coding
SLC25A25-AS1,lncRNA
SLC25A26,Protein Coding
SLC25A27,Protein Coding
SLC25A28,Protein Coding
SLC25A28-DT,lncRNA
SLC25A29,Protein Coding
SLC25A30,Protein Coding
SLC25A30-AS1,lncRNA
SLC25A31,Protein Coding
SLC25A32,Protein Coding
SLC25A33,Protein Coding
SLC25A34,Protein Coding
SLC25A34-AS1,lncRNA
SLC25A35,Protein Coding
SLC25A36,Protein Coding
SLC25A36P1,Pseudogene
SLC25A37,Protein Coding
SLC25A38,Protein Coding
SLC25A38P1,Pseudogene
SLC25A39,Protein Coding
SLC25A39P1,Pseudogene
SLC25A39P2,Pseudogene
SLC25A40,Protein Coding
SLC25A41,Protein Coding
SLC25A42,Protein Coding
SLC25A43,Protein Coding
SLC25A44,Protein Coding
SLC25A45,Protein Coding
SLC25A46,Protein Coding
SLC25A47,Protein Coding
SLC25A47P1,Pseudogene
SLC25A48,Protein Coding
SLC25A48-AS1,lncRNA
SLC25A51,Protein Coding
SLC25A51P1,Pseudogene
SLC25A51P2,Pseudogene
SLC25A51P3,Pseudogene
SLC25A51P4,Pseudogene
SLC25A52,Protein Coding
SLC25A53,Protein Coding
SLC25A53P1,Pseudogene
SLC26A1,Protein Coding
SLC26A2,Protein Coding
SLC26A3,TF
SLC26A4,Protein Coding
SLC26A4-AS1,lncRNA
SLC26A5,Protein Coding
SLC26A5-AS1,lncRNA
SLC26A6,Protein Coding
SLC26A7,Protein Coding
SLC26A8,Protein Coding
SLC26A9,Protein Coding
SLC26A9-AS1,lncRNA
SLC26A10,TF
SLC26A11,Protein Coding
SLC27A1,Protein Coding
SLC27A2,Protein Coding
SLC27A3,Protein Coding
SLC27A4,Protein Coding
SLC27A5,Protein Coding
SLC27A6,Protein Coding
SLC28A1,Protein Coding
SLC28A2,Protein Coding
SLC28A2-AS1,lncRNA
SLC28A3,Protein Coding
SLC29A1,Protein Coding
SLC29A2,Protein Coding
SLC29A3,Protein Coding
SLC29A4,Protein Coding
SLC29A4P1,Pseudogene
SLC29A4P2,Pseudogene
SLC30A1,Protein Coding
SLC30A2,Protein Coding
SLC30A3,Protein Coding
SLC30A4,Protein Coding
SLC30A5,Protein Coding
SLC30A6,Protein Coding
SLC30A6-DT,lncRNA
SLC30A6P1,Pseudogene
SLC30A7,Protein Coding
SLC30A8,Protein Coding
SLC30A9,TF
SLC30A10,Protein Coding
SLC31A1,Protein Coding
SLC31A1P1,Pseudogene
SLC31A2,Protein Coding
SLC32A1,Protein Coding
SLC33A1,Protein Coding
SLC34A1,Protein Coding
SLC34A2,Protein Coding
SLC34A3,Protein Coding
SLC35A1,Protein Coding
SLC35A2,Protein Coding
SLC35A3,Protein Coding
SLC35A4,Protein Coding
SLC35A5,Protein Coding
SLC35B1,Protein Coding
SLC35B2,Protein Coding
SLC35B3,Protein Coding
SLC35B4,Protein Coding
SLC35C1,Protein Coding
SLC35C2,Protein Coding
SLC35C2P1,Pseudogene
SLC35D1,Protein Coding
SLC35D2,Protein Coding
SLC35D3,Protein Coding
SLC35E1,Protein Coding
SLC35E1P1,Pseudogene
SLC35E2A,Protein Coding
SLC35E2B,Protein Coding
SLC35E3,Protein Coding
SLC35E4,Protein Coding
SLC35F1,Protein Coding
SLC35F2,Protein Coding
SLC35F3,Protein Coding
SLC35F3-AS1,lncRNA
SLC35F4,Protein Coding
SLC35F5,Protein Coding
SLC35F6,Protein Coding
SLC35G1,Protein Coding
SLC35G2,Protein Coding
SLC35G3,Protein Coding
SLC35G4,Protein Coding
SLC35G5,Protein Coding
SLC35G6,Protein Coding
SLC36A1,Protein Coding
SLC36A2,Protein Coding
SLC36A3,Protein Coding
SLC36A4,Protein Coding
SLC37A1,Protein Coding
SLC37A2,Protein Coding
SLC37A3,Protein Coding
SLC37A4,Protein Coding
SLC38A1,Protein Coding
SLC38A2,Protein Coding
SLC38A2-AS1,lncRNA
SLC38A3,Protein Coding
SLC38A4,Protein Coding
SLC38A4-AS1,lncRNA
SLC38A5,Protein Coding
SLC38A6,Protein Coding
SLC38A7,Protein Coding
SLC38A8,Protein Coding
SLC38A9,Protein Coding
SLC38A10,Protein Coding
SLC38A11,Protein Coding
SLC39A1,Protein Coding
SLC39A2,Protein Coding
SLC39A3,Protein Coding
SLC39A4,Protein Coding
SLC39A5,Protein Coding
SLC39A6,Protein Coding
SLC39A7,Protein Coding
SLC39A8,Protein Coding
SLC39A9,Protein Coding
SLC39A10,TF
SLC39A11,Protein Coding
SLC39A12,Protein Coding
SLC39A12-AS1,lncRNA
SLC39A13,Protein Coding
SLC39A14,Protein Coding
SLC40A1,Protein Coding
SLC41A1,Protein Coding
SLC41A2,Protein Coding
SLC41A3,Protein Coding
SLC41A3-AS1,lncRNA
SLC43A1,Protein Coding
SLC43A2,Protein Coding
SLC43A3,Protein Coding
SLC44A1,Protein Coding
SLC44A2,Protein Coding
SLC44A3,Protein Coding
SLC44A3-AS1,lncRNA
SLC44A3P1,Pseudogene
SLC44A4,Protein Coding
SLC44A5,Protein Coding
SLC45A1,Protein Coding
SLC45A2,Protein Coding
SLC45A3,Protein Coding
SLC45A4,Protein Coding
SLC46A1,Protein Coding
SLC46A2,Protein Coding
SLC46A3,Protein Coding
SLC47A1,Protein Coding
SLC47A1P1,Pseudogene
SLC47A1P2,Pseudogene
SLC47A2,Protein Coding
SLC48A1,Protein Coding
SLC49A3,Protein Coding
SLC49A4,Protein Coding
SLC50A1,Protein Coding
SLC51A,Protein Coding
SLC51B,Protein Coding
SLC52A1,Protein Coding
SLC52A2,Protein Coding
SLC52A3,Protein Coding
SLC66A1,Protein Coding
SLC66A1L,Protein Coding
SLC66A2,Protein Coding
SLC66A2P1,Pseudogene
SLC66A2P2,Pseudogene
SLC66A3,Protein Coding
SLCO1A2,Protein Coding
SLCO1B1,Protein Coding
SLCO1B3,Protein Coding
SLCO1B3-SLCO1B7,other
SLCO1B7,Protein Coding
